Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
mens-grey-uncharted-graphic-printed-t-shirt,,,,,,,,,2XL,,,,,,,,BWK-BEWA-685571-2XL,250,shopify,100,deny,manual,599.00,1399.00,true,true,,,,,,,,,g,,,
mens-grey-uncharted-graphic-printed-t-shirt,,,,,,,,,3XL,,,,,,,,BWK-BEWA-685571-3XL,250,shopify,100,deny,manual,599.00,1399.00,true,true,,,,,,,,,g,,,
mens-maroon-dead-pool-jersey-graphic-printed-oversized-t-shirt,Men's  Maroon Dead Pool Jersey Graphic Printed Oversized T-shirt,<p>Men Maroon Oversized Fit Graphic Print (Bewakoof X Marvel) Men's  Maroon Dead Pool Jersey Graphic Printed Oversized T-shirt | Bundle: Buy 3 get 10% off</p><ul><li><strong>Gender:</strong> Men</li><li><strong>Color:</strong> Maroon</li><li><strong>Design:</strong> Graphic Print</li><li><strong>Fit:</strong> Oversized Fit</li><li><strong>Fabric:</strong> Cotton</li><li><strong>Sleeve:</strong> Half Sleeve</li><li><strong>Fandom Partner:</strong> Bewakoof X Marvel</li></ul>,Bewakoof®,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"Bewakoof, Bewakoof X Marvel, Graphic Print, Maroon, Marvel, Men, Oversized Fit, T-Shirt, X",true,Size,S,,,,,,,,BWK-BEWA-580072-S,250,shopify,100,deny,manual,799.00,1299.00,true,true,,https://images.bewakoof.com/t640/men-s-maroon-dead-pool-jersey-graphic-printed-oversized-t-shirt-580072-1761658537-1.jpg,1,Men's  Maroon Dead Pool Jersey Graphic Printed Oversized T-shirt,false,Men's  Maroon Dead Pool Jersey Graphic Printed Oversized T-shirt,Men Maroon Oversized Fit Graphic Print (Bewakoof X Marvel) Men's  Maroon Dead Pool Jersey Graphic Printed Oversized T-shirt | Bundle: Buy 3 get 10% off,,g,,,active
mens-maroon-dead-pool-jersey-graphic-printed-oversized-t-shirt,,,,,,,,,M,,,,,,,,BWK-BEWA-580072-M,250,shopify,100,deny,manual,799.00,1299.00,true,true,,,,,,,,,g,,,
mens-maroon-dead-pool-jersey-graphic-printed-oversized-t-shirt,,,,,,,,,L,,,,,,,,BWK-BEWA-580072-L,250,shopify,100,deny,manual,799.00,1299.00,true,true,,,,,,,,,g,,,
mens-maroon-dead-pool-jersey-graphic-printed-oversized-t-shirt,,,,,,,,,XL,,,,,,,,BWK-BEWA-580072-XL,250,shopify,100,deny,manual,799.00,1299.00,true,true,,,,,,,,,g,,,
mens-maroon-dead-pool-jersey-graphic-printed-oversized-t-shirt,,,,,,,,,2XL,,,,,,,,BWK-BEWA-580072-2XL,250,shopify,100,deny,manual,799.00,1299.00,true,true,,,,,,,,,g,,,
mens-oyester-mushroom-grey-wild-and-wise-graphic-printed-t-shirt,Men's  Oyester Mushroom Grey Wild And Wise Graphic Printed T-shirt,<p>Men Grey Regular Fit Graphic Print (Bewakoof) Men's  Oyester Mushroom Grey Wild And Wise Graphic Printed T-shirt | Bundle: Buy 3 for 1199</p><ul><li><strong>Gender:</strong> Men</li><li><strong>Color:</strong> Grey</li><li><strong>Design:</strong> Graphic Print</li><li><strong>Fit:</strong> Regular Fit</li><li><strong>Fabric:</strong> Cotton</li><li><strong>Sleeve:</strong> Half Sleeve</li><li><strong>Fandom Partner:</strong> Bewakoof</li></ul>,Bewakoof®,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"Bewakoof, Graphic Print, Grey, Men, Regular Fit, T-Shirt",true,Size,S,,,,,,,,BWK-BEWA-691907-S,250,shopify,100,deny,manual,499.00,1399.00,true,true,,https://images.bewakoof.com/t640/men-s-oyester-mushroom-grey-big-mood-graphic-printed-t-shirt-691907-1763099864-1.jpg,1,Men's  Oyester Mushroom Grey Wild And Wise Graphic Printed T-shirt,false,Men's  Oyester Mushroom Grey Wild And Wise Graphic Printed T-shirt,Men Grey Regular Fit Graphic Print (Bewakoof) Men's  Oyester Mushroom Grey Wild And Wise Graphic Printed T-shirt | Bundle: Buy 3 for 1199,,g,,,active
mens-oyester-mushroom-grey-wild-and-wise-graphic-printed-t-shirt,,,,,,,,,M,,,,,,,,BWK-BEWA-691907-M,250,shopify,100,deny,manual,499.00,1399.00,true,true,,,,,,,,,g,,,
mens-oyester-mushroom-grey-wild-and-wise-graphic-printed-t-shirt,,,,,,,,,L,,,,,,,,BWK-BEWA-691907-L,250,shopify,100,deny,manual,499.00,1399.00,true,true,,,,,,,,,g,,,
